041
logo.jpg
ZIRKON WHITE BIANCO
041.png
DESCRIZIONE;Rivestimento murale per esterni, a base di resine acriliche, idoneo per la protezione e la decorazione
di edifici nuovi o in ristrutturazione, è caratterizzato da resistenze superiori agli agenti atmosferici e
agli alcali, ottima tenuta di tinta ed eccellente punto di bianco. Il prodotto ha buone qualità riempitive
che permettono di mascherare eventuali piccole imperfezioni del supporto.
ASPETTO;OPACO
PESO SPECIFICO;1,50 Kg/Lt.
PERMEABILITA AL VAPORE ACQUEO; BASSA 
PRESA DI SPORCO; BASSA 
LAVABILITA'; ALTA 
COLORE; Bianco (Colorabile con Coloranti Universali non associato a sistema tintometrico) 
ESSICCAZIONE; 	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.) 
RESA PRATICA; 	9-11 m2/L per mano in funzione dell’assorbimento del supporto 
DILUIZIONE; 1a mano: aggiungere il 10% di acqua potabile ; 2a mano: Tal quale o aggiungere il 5% massimo di acqua potabile ; Spruzzo airless:aggiungere tra il 20% e il 30% di acqua potabile. Ugelli consigliati: LP419–LP519–LP619- LP421–LP521–LP624 
ATTREZZI; 	Pennello, Rullo, Spruzzo 
SUPPORTI; Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco 
CODICE ARTICOLO;ZIRKON14BIANCO;ZIRKON12.5BIANCO
