114
logo.jpg
RECOAT 1.0 MM SILOSSANICO BASE BIANCA
114.png
DESCRIZIONE;Rivestimento materico a spessore con eccezionali resistenze agli agenti atmosferici ed all'abrasione. L'elevato spessore applicato (fino a 1 mm) permette di eliminare le eventuali imperfezioni del supporto ottenendo una finitura tipo "arenino", mantenendo al contempo una ottima permeabilità al vapore acqueo. Speciali additivi proteggono il film dall'aggressione di alghe e muffe. Eccezionale lavorabilità. Conforme alle norme UNI EN 15457 (resistenza alla crescita dei funghi e delle alghe).
ASPETTO;GRANULARE OPACO
PESO SPECIFICO;-
RESIDUO SECCO;87,00 p/p ± 5%
PERMEABILITA AL VAPORE ACQUEO; ALTA 
PRESA DI SPORCO; MEDIA 
LAVABILITA'; ALTA 
COLORE; Bianco materico granulare associato a sistema tintometrico (Colorabile con Coloranti Universali) 
ESSICCAZIONE; 	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.) 
RESA PRATICA; 10-12 m2 PER SECCHIO DA 20KG 
DILUIZIONE; Pronto all'uso 
ATTREZZI; Frattazzo in acciaio inox, Frattazzo in plastica 
SUPPORTI; Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco, cemento armato. 
CODICE ARTICOLO;RECOAT1.0SIL.1;RECOAT1.0SILK20
