052
logo.jpg
REGUM BIANCO
052.png
DESCRIZIONE;Rivestimento continuo a base di resine acriliche elastomeriche in emulsione acquosa che conferiscono al prodotto una elevata impermeabilità durevole resistente alla pioggia, agli agenti atmosferici. Il film applicato risulta duro, elastico e permanente. Per superfici in muratura, calcestruzzo, tetti già coibentati con vecchie coperture parzialmente degradate di cui si richiede una riparazione efficace all'infiltrazione di acqua o umidità. Idoneo ad impermeabilizzare vecchi intonaci sfarinati di cui si vuole ridurre drasticamente l'assorbimento d'acqua con l'impermeabilizzazione.
ASPETTO;OPACO
PESO SPECIFICO;1,34 Kg/Lt.
PERMEABILITA AL VAPORE ACQUEO; BASSA 
PRESA DI SPORCO; BASSA 
LAVABILITA'; ALTA 
COLORE; Bianco (Colorabile con Coloranti Universali non associato a sistema tintometrico) 
ESSICCAZIONE; 	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.) 
RESA PRATICA; 	9-11 m2/L per mano in funzione dell'assorbimento del supporto 
DILUIZIONE; 1a mano: aggiungere il 10% di acqua potabile ; 2a mano: Tal quale o aggiungere il 5% massimo di acqua potabile ; Spruzzo airless:aggiungere tra il 20% e il 30% di acqua potabile. Ugelli consigliati: LP419-LP519-LP619- LP421-LP521-LP624 
ATTREZZI; 	Pennello, Rullo, Spruzzo 
SUPPORTI; Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco 
CODICE ARTICOLO;REGUM12.5WHITE
