010
logo.jpg
LAVABILE BASE BIANCA
010.png
DESCRIZIONE;Idropittura di finitura murale con ottima resistenza al lavaggio leggermente traspirante per interni. E' caratterizzata da buon potere coprente e buon punto di bianco. Possiede un'ottima pennellabilità euna ottima resa, si differenzia dalle normali idropitture per il particolare aspetto vellutato, che esalta la qualità della finitura valorizzando gli ambienti dove viene applicata. Facile da applicare, permette di ottenere finiture di elevato aspetto estetico sia all'utilizzatore privato che al professionista.
ASPETTO;OPACO
PESO SPECIFICO;1,52 Kg/Lt.
RESIDUO SECCO;52,00 p/p ± 0,5%
PERMEABILITA AL VAPORE ACQUEO; BASSA 
PRESA DI SPORCO; BASSA 
LAVABILITA'; ALTA 
COLORE; Bianco (Colorabile con Coloranti Universali non associato a sistema tintometrico) 
ESSICCAZIONE; 	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.) 
RESA PRATICA; 	9-11 m2/L per mano in funzione dell'assorbimento del supporto 
DILUIZIONE; 1a mano: aggiungere il 10% di acqua potabile ; 2a mano: Tal quale o aggiungere il 5% massimo di acqua potabile ; Spruzzo airless:aggiungere tra il 20% e il 30% di acqua potabile. Ugelli consigliati: LP419-LP519-LP619- LP421-LP521-LP624 
ATTREZZI; 	Pennello, Rullo, Spruzzo 
SUPPORTI; Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco 
CODICE ARTICOLO;LAVABILE2.5;LAVABILE5;LAVABILE12.5
