105
logo.jpg
RECOAT 0.5 MM SILOSSANICO BASE BO
105.png
DESCRIZIONE;Rivestimento materico a spessore con eccezionali resistenze agli agenti atmosferici ed all’abrasione. L’elevato spessore applicato (fino a 0,5 mm) permette di eliminare le eventuali imperfezioni del supporto ottenendo una finitura tipo “arenino”, mantenendo al contempo una ottima permeabilità al vapore acqueo. Speciali
additivi proteggono il film dall’aggressione di alghe e muffe. Eccezionale lavorabilità. Conforme alle norme UNI EN 15457
(resistenza alla crescita dei funghi e delle alghe).
ASPETTO;GRANULARE OPACO
PESO SPECIFICO;1,00 Kg/Lt.
PERMEABILITA AL VAPORE ACQUEO; ALTA 
PRESA DI SPORCO; MEDIA 
LAVABILITA'; ALTA 
COLORE; Bianco (Colorabile con Coloranti Universali non associato a sistema tintometrico) 
ESSICCAZIONE; 	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.) 
RESA PRATICA; 15-18 m2 PER SECCHIO DA 20KG 
DILUIZIONE; Pronto all'uso 
ATTREZZI; Frattazzo in acciaio inox, Frattazzo in plastica 
SUPPORTI; Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco, cemento armato. 
CODICE ARTICOLO;RECOAT0.5SILK20BO
