025
logo.jpg
MOLD DETERGENTE
025.png
DESCRIZIONE;Detergente NATURALE risanante pronto all'uso a vasto spettro d'azione, a vase di olio essenziale, ideato per contrastare ed inibire la proliferazione dei più svariati tipi di muffa su pareti interne, ottimizza il ciclo di risanamento come prima mano negli ambienti soggetti a formazione di muffa, ciclo NATURALE che va completato con la ricopertura della superficie contaminata con pittura antimuffa "PURA PITTURA NATURALE".
ASPETTO;TRASPARENTE OPACO
PESO SPECIFICO;-
PERMEABILITA AL VAPORE ACQUEO; ALTA 
PRESA DI SPORCO; N.C 
LAVABILITA'; N.C 
COLORE; Incolore neutro 
ESSICCAZIONE; 	Per ricopertura: 4 - 6 ore, completo: 24 ore (dati riferiti a 20°C e 65% di U.R.) 
RESA PRATICA; 	10-12 m2/L per mano in funzione dell'assorbimento del supporto 
DILUIZIONE; Pronto all'uso 
ATTREZZI; Spruzzatore integrato 
SUPPORTI; Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco 
CODICE ARTICOLO;MOLD1
