008
logo.jpg
UNICO BASE BIANCA
008.png
DESCRIZIONE;Idropittura Idrorepellente traspirante per interni. E' caratterizzata da ottimo potere coprente e ottimo punto di bianco. Facile da applicare, non richiede l'applicazione di alcun prodotto di fondo, possiede un'ottima pennellabilità e una buona resa. Indicata per cucine, bagni ed in genere per locali soggetti alla formazione di condensa.
ASPETTO;OPACO
PESO SPECIFICO;1,60 Kg/Lt.
RESIDUO SECCO;67,00 p/p ± 5%
PERMEABILITA AL VAPORE ACQUEO; MEDIA 
PRESA DI SPORCO; BASSA 
LAVABILITA'; MEDIA 
COLORE; Bianco associato a sistema tintometrico (Colorabile con Coloranti Universali) 
ESSICCAZIONE; 	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.) 
RESA PRATICA; 	12-16 m2/L per mano in funzione dell'assorbimento del supporto 
DILUIZIONE; 1a mano: aggiungere il 30% di acqua potabile ; 2a mano: aggiungere il 25% di acqua potabile ; Spruzzo airless:aggiungere tra il 30% e il 40% di acqua potabile. Ugelli consigliati: LP419-LP519-LP619- LP421-LP521-LP624 
ATTREZZI; 	Pennello, Rullo, Spruzzo 
SUPPORTI; Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco 
CODICE ARTICOLO;UNICO5;UNICO12.5
