155
logo.jpg
AMETYST LIQUIDO COLORATO
155.png
DESCRIZIONE;Idropittura di finitura murale con ottima resistenza al lavaggio per interni ed esterni. E' caratterizzata da buon potere coprente e buon punto di bianco. Possiede un'ottima pennellabilità e una ottima resa, si differenzia dalle normali idropitture per il particolare aspetto vellutato, che esalta la qualità della finitura valorizzando gli ambienti dove viene applicata ed è quindi particolarmente indicata per la coloritura di locali prestigiosi. Facile da applicare, permette di ottenere finiture di elevato aspetto estetico sia all'utilizzatore privato che al professionista.
ASPETTO;OPACO
PESO SPECIFICO;1,55 Kg/Lt.
PERMEABILITA AL VAPORE ACQUEO; BASSA 
PRESA DI SPORCO; BASSA 
LAVABILITA'; ALTA 
COLORE; Bianco (Colorabile con Coloranti Universali non associato a sistema tintometrico) 
ESSICCAZIONE; 	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.) 
RESA PRATICA; 	9-11 m2/L per mano in funzione dell'assorbimento del supporto 
DILUIZIONE; 1a mano: aggiungere il 10% di acqua potabile ; Spruzzo airless:aggiungere tra il 20% e il 30% di acqua potabile. Ugelli consigliati: LP419-LP519-LP619- LP421-LP521-LP624 
CODICE ARTICOLO;KGAMETYSTCOL;CISAMETYSTCOL
