116
logo.jpg
RECOAT 1.0 MM ELASTOMERICO BASE BIANCA
116.png
DESCRIZIONE;Rivestimento matrico elastomerico antialga a spessore (finoa 1 mm) contraddistinto da ottima idrorepellenza, bassa presa di sporco ed è idoneo per la protezione di edifici nuovi o in manutenzione anche in cemento armato. È caratterizzato da ottimo potere riempitivo, elevata elasticità ed ottima resistenza agli agenti atmosferici, uniforma le irregolarità del supporto ed eventuali rappezzi restando coerente anche im presenza di micromovimenti. Speciali additivi proteggono il film dall’aggressione di alghe e muffe. Conforme alle norme UNI EN 15457 (resistenza alla crescita dei funghi e delle alghe).
ASPETTO;GRANULARE OPACO
PESO SPECIFICO;1,00 Kg/Lt.
PERMEABILITA AL VAPORE ACQUEO; BASSA 
PRESA DI SPORCO; BASSA 
LAVABILITA'; ALTA 
COLORE; Bianco (Colorabile con Coloranti Universali non associato a sistema tintometrico) 
ESSICCAZIONE; 	Per ricopertura: 6 ore, completo: 48 ore (dati riferiti a 20°C e 65% di U.R.) 
RESA PRATICA; 9-11  m2 PER SECCHIO DA 20KG 
DILUIZIONE; Pronto all'uso 
ATTREZZI; Frattazzo in acciaio inox, Frattazzo in plastica 
SUPPORTI; Intonaco civile, cartongesso, fibrocemento, pareti rasate a stucco, cemento armato. 
CODICE ARTICOLO;RECOATELAST1.1;RECOATELASTK20
